procs=2, thread=2, n=16384, time=2.781124e+02
procs=2, thread=2, n=16384, time=2.794118e+02
procs=2, thread=2, n=16384, time=2.772756e+02
procs=2, thread=2, n=16, time=2.077340e-03
procs=2, thread=2, n=16, time=2.102827e-03
procs=36, thread=1, n=16384, time=7.381246e+01
procs=18, thread=2, n=2, time=1.526270e-01
procs=18, thread=2, n=4, time=1.675762e-01
procs=18, thread=2, n=8, time=2.250493e-01
procs=18, thread=2, n=16, time=1.935983e-01
procs=18, thread=2, n=32, time=1.730693e-01
procs=18, thread=2, n=64, time=1.871833e-01
procs=18, thread=2, n=128, time=2.038749e-01
procs=18, thread=2, n=256, time=2.198067e-01
procs=18, thread=2, n=512, time=2.242726e-01
procs=18, thread=2, n=1024, time=3.757002e-01
procs=18, thread=2, n=2048, time=9.696128e-01
procs=18, thread=2, n=4096, time=3.916953e+00
procs=2, thread=2, n=2, time=1.505644e-02
procs=6, thread=2, n=2, time=4.438871e-02
procs=12, thread=2, n=2, time=9.879769e-02
procs=6, thread=2, n=4, time=8.548645e-02
procs=12, thread=2, n=4, time=1.165416e-01
procs=12, thread=2, n=8, time=1.472343e-01
procs=2, thread=2, n=4, time=2.421714e-02
procs=12, thread=2, n=16, time=1.496781e-01
procs=6, thread=2, n=8, time=5.785576e-02
procs=12, thread=2, n=32, time=1.445036e-01
procs=6, thread=2, n=16, time=4.271963e-02
procs=2, thread=2, n=8, time=2.555800e-02
procs=12, thread=2, n=64, time=1.354096e-01
procs=6, thread=2, n=32, time=4.406711e-02
procs=12, thread=2, n=128, time=1.289635e-01
procs=2, thread=2, n=16, time=1.745617e-02
procs=6, thread=2, n=64, time=4.489051e-02
procs=12, thread=2, n=256, time=1.502520e-01
procs=2, thread=2, n=32, time=1.769492e-02
procs=6, thread=2, n=128, time=5.304813e-02
procs=12, thread=2, n=512, time=1.910798e-01
procs=6, thread=2, n=256, time=7.660807e-02
procs=12, thread=2, n=1024, time=4.558811e-01
procs=6, thread=2, n=512, time=1.343393e-01
procs=2, thread=2, n=64, time=1.920668e-02
procs=6, thread=2, n=1024, time=3.960738e-01
procs=2, thread=2, n=128, time=3.610419e-02
procs=12, thread=2, n=2048, time=1.506014e+00
procs=6, thread=2, n=2048, time=1.648155e+00
procs=2, thread=2, n=256, time=7.218790e-02
procs=2, thread=2, n=512, time=2.453328e-01
